Timestamps,Content
00:00:00.000 --> 00:00:01.000,好，我看得见，我先先录一下。
00:00:01.000 --> 00:00:03.000,好好，那。
00:00:03.000 --> 00:00:09.000,Okay，老板教授我，我先简单的介绍一下你还有我们这个讲座哈可以吗？
00:00:09.000 --> 00:00:11.000,好好。哎，可以可以可以。
00:00:11.000 --> 00:00:30.000,现在的这个观众朋友，大家晚上好，现在应该是北京时间晚上八点那么我们这里是光从东方来去介绍东方教会传统的那么中国啊，未处于这个地理的东方所以我们的讲座呢？
00:00:30.000 --> 00:01:00.000,也涵盖中国教会的历史，那么介绍了中国的教会发展的情况，长达上千年的时间那么今天，我的导师又一次我有线邀请到导师叶青来介绍的情况那么我导师是亚非学院的教授还是他研究的是清代的学术和基
00:01:07.000 --> 00:01:30.000,督教，还有玛玛语的满文的学习都很厉害，对中亚地区也非常了解，因为它是这个这个总编辑所以感谢大家来参加我们这次学术，性，的，讲座，那么接下来的，时间我把时间交给导师朗曼教授老师如果你觉得有一
00:01:30.000 --> 00:01:34.000,些。中文说不在内。通话我，我，我可以提醒一下就好了，其实都不用做
00:01:34.000 --> 00:01:47.000,好好好好心，盡心，謝謝謝謝好非常哪些，而且也歡迎你們，就是談我們的那個講座講座的題目。
00:01:47.000 --> 00:01:57.000,是盧德宗，或還有一個字，就是那個信一叫我，然後給你們介紹。
00:01:57.000 --> 00:02:27.000,就是特殊的那個意義啊。我，因爲我在倫敦大學是歷史系的一個教師，教授，我先前跟那個路德宗的歷史北京開始講我希望就是不會講得太神但是如果有就是更多，問題，的話那你們可以就是以後就是在問我好，那我題，目就是那
00:02:31.000 --> 00:02:54.000,個路得住在中國，基本上就是從很本次講座的那個，就是目的。
00:02:54.000 --> 00:02:55.000,好，那我，我，我不是神學家，但是我，我我看過敏感就是呃，從頭開始。
00:02:55.000 --> 00:03:25.000,那個宗教改革最重要的地方是什麼？我在坐扁知識防疫下，就是天主教的處於交着就是跟跟寫那個在的宗教改革以後補充，的那個審訊方面，我也是懂得歐對我在這裏是不不太願意就是他們不同意，當代就是
00:03:48.000 --> 00:04:07.000,十二十六世紀初，羅馬天主教教會那個教皇關於這個錢的問題，這是最基本上的一回事。
00:04:07.000 --> 00:04:37.000,這是升學和經濟方面，就是融合起來的，一方面非常重要，我們以後就是以後馬上就是給你們講的結果，會是所以就是從差不多就是從土，開始有有兩個口號，這些口號，是用拉丁語泄的就是說就是很只要這個神經特別
00:04:40.000 --> 00:05:10.000,是那個新月就是聽他的話，不要進就是神父的話，也不要聽，也不一定要聽我們教皇的，話反正他的目的不是並不是離開，天主角那個天主教的那個我們是很尊敬的，一種就是歐洲西部這個傳統他自己他也主教是一樣的，但
00:05:28.000 --> 00:05:58.000,是它有一些就是不滿意的地方，這些不滿意的地方不馬上要的然後還有一個口號就是那個索拉菲的就是只有信仰就是才能就是對這裏有一個特殊的那個詞就是那爲那時候天主教絞湯他們開始就是把心
00:06:03.000 --> 00:06:18.000,吐的錢就是都寄到羅馬，爲了就是阿們就就絞湯的那個建築。
00:06:18.000 --> 00:06:48.000,我們是爲爲爲了就是給腳慌的這個職業，然後然後就是每個天天說那個天主教的那個腳踏他們就讓信徒就是寄給他們錢這樣他們他們也說信徒給的錢覺多他們的罪他們他們可以就是很就是那個四十年的
00:07:01.000 --> 00:07:31.000,的中神學方面來說，馬丁路德就是是就是他，是他非常不滿，然後在第三個方面那況是是他的那個他他他因爲那時候，很多人認爲教皇是就是是上帝是那個天主就是派到有那時候有好多天主
00:07:53.000 --> 00:08:23.000,教就是神父和就是思想家，他們他們往前不不不不，他們覺得這樣的應該算是就是邪，教，因爲我們教皇一定是人所以他也會他的，看法，也會有錯誤的所以他就是開始批評當代的那個腳荒的政策的時候也一部分也有神學的方面
00:08:35.000 --> 00:08:46.000,呃，好欸。第四個方面就是後來對中國來說是很有很重要的。
00:08:46.000 --> 00:09:16.000,他說，和國教會服從國王一級國家教會，他的意思是，在這基本上就是一個就愛國主義的一看法就是他他基本上說每一個教會每一個地區的教會每一個國家的教會每一個民族的教會應他們不應該就是
00:09:26.000 --> 00:09:53.000,聽很嚴的一個地方的話，比如說辱罵就是特別是羅馬，所以他很他的那個宗教改革非常重要的一部分就是跟中國就是五十年代以來的那個三字就的政策就是有一些相類的方面am誒。
00:09:53.000 --> 00:10:23.000,這第五個方面就是我已經談到的就是那個服務費，就是就是我們這個家，那個教會他不需要在他的就是信徒給澆湯的錢一定是給教堂的，或者那個教會啊，最最貧窮的人員不應該就是把他就是給非常就是有錢
00:10:28.000 --> 00:10:58.000,然後他引誘一些，因爲他仔細也出一個修答員說笑道眼，所以他他，他就是我們算是一個就是一個天主教天主，教的那個僧，他他他覺得就是省府，他們應該就是天主教神，父他們應該會他們可以這是更自然的
00:11:03.000 --> 00:11:33.000,就是生活我們天主教一直到現在就是不允許這樣做，但是我們可以說這是一直到現在就是比較比較長期的後果後來這也就是跟中國的以後的那個政策也有有關系各國教會應該用本地語言就是爲了，就是不倒
00:11:33.000 --> 00:12:03.000,爲了就是在的教堂內就是很有那時候天主教就是責任去用拉丁局，垃圾率是當然那時候是們學者的一種語言所以我們一般的老百姓他們聽不懂這是家就是那個不到的時候或者攪湯，就這個看那個彌撒的時候用的
00:12:05.000 --> 00:12:35.000,那個拉丁女，所以他們他們覺得馬丁路德和別的就是改革，就是宗教改革，者他們他們認爲每一個教堂應該用他們自己本地語言的一個方式這樣他們才。
00:12:40.000 --> 00:12:47.000,對下面的有有一個就是比較。
