Timestamps,Content
00:00.000 --> 00:08.440,老曼教授 我先简单的介绍一下您
00:08.440 --> 00:10.740,还有我们这个讲座 可以吗
00:10.740 --> 00:11.940,可以 可以 可以
00:11.940 --> 00:15.620,亲爱的观众朋友 大家晚上好
00:15.620 --> 00:18.020,现在应该是北京时间晚上八点
00:18.020 --> 00:21.100,那么我们这里是光从东方来
00:21.100 --> 00:23.160,是介绍东方教会传统的
00:23.160 --> 00:27.860,那么中国位处于这个地理的东方
00:27.860 --> 00:31.480,所以我们的讲座也涵盖中国教会的历史
00:31.480 --> 00:35.760,那么老曼教授是我在亚非学院的导师
00:35.760 --> 00:38.820,他去年的时候讲过一次讲座
00:38.820 --> 00:41.080,就是比较通览性的
00:41.080 --> 00:45.380,介绍了中国的教会发展的情况
00:45.380 --> 00:47.600,长达上千年的时间
00:47.600 --> 00:50.260,那么今天我的导师又一次
00:50.260 --> 00:53.140,我有幸邀请到导师又一次来介绍
00:53.140 --> 00:56.500,他这次介绍的是路德宗在中国的情况
00:56.500 --> 01:01.500,那么我导师是亚非学院的教授
01:01.500 --> 01:07.180,他研究的是清代的学术和基督教
01:07.180 --> 01:10.660,还有马语的满文的学习都很厉害
01:10.660 --> 01:13.040,对中亚地区也非常了解
01:13.040 --> 01:17.120,因为他是这个Central Asia Journal的总编辑
01:17.120 --> 01:21.060,所以感谢大家来参加我们这次学术性的讲座
01:21.060 --> 01:22.500,那么接下来的时间
01:22.500 --> 01:24.880,我把时间交给我的导师老曼教授
01:26.500 --> 01:32.700,老师如果你觉得有一些中文说不太通的话
01:32.700 --> 01:34.540,我可以提醒一下就好了
01:34.540 --> 01:36.460,好好好 行行行 谢谢谢谢
01:36.460 --> 01:39.800,好 非常感谢
01:39.800 --> 01:44.140,而且欢迎你们参加我们的那个讲座
01:44.140 --> 01:49.380,讲座的题目是路德宗或者
01:49.380 --> 01:52.820,还有一个字就是那个新一教
01:52.820 --> 01:55.180,我然后给你们介绍
01:56.500 --> 01:59.180,就是特殊的那个意义
01:59.180 --> 02:08.220,因为我在伦敦大学是历史系的一个教授
02:08.220 --> 02:15.900,我先跟那个路德宗的历史北京开始
02:15.900 --> 02:20.540,我希望就是不会讲得太深
02:20.540 --> 02:23.940,但是如果有就是更多问题的话
02:23.940 --> 02:25.460,那你们可以就是以后
02:25.460 --> 02:26.480,就是再讲一下
02:26.500 --> 02:28.500,再问我
02:28.500 --> 02:33.340,好 那题目就是那个
02:33.340 --> 02:35.980,路德宗在中国
02:35.980 --> 02:43.220,基本上就是从德国中部还有北欧
02:43.220 --> 02:46.060,一直到就是中国的那个发展
02:46.060 --> 02:54.340,这是本次讲座的那个就是目的
02:54.340 --> 02:55.980,好 那我
02:55.980 --> 02:56.500,我
02:56.500 --> 02:58.700,我不是神学家
02:58.700 --> 03:05.340,但是我看我们应该就是从头开始问一下
03:05.340 --> 03:11.500,那个路德 马丁·路德的那个宗教改革
03:11.500 --> 03:15.340,最重要的地方是什么
03:15.340 --> 03:17.820,我在左边就是放一下
03:17.820 --> 03:25.180,就是天主教的最重要的就是跟
03:26.500 --> 03:32.700,这个宗教改革以后补充的那个神学方面
03:32.700 --> 03:35.900,我也是懂得
03:35.900 --> 03:41.940,对 我在这里就是不太愿意就是谈到那个天主教方面
03:41.940 --> 03:44.340,如果你们以后有问题的话
03:44.340 --> 03:46.380,我们可以谈到
03:46.380 --> 03:56.340,最重要的一点就是他不同意当代就是十六世纪初
03:56.340 --> 04:04.860,就是罗马天主教教会那个教皇关于钱的问题
04:04.860 --> 04:07.340,这是最基本上的一回事
04:07.340 --> 04:13.260,这是神学和经济方面就是融合起来的一方面
04:13.260 --> 04:14.500,非常重要
04:14.500 --> 04:22.220,我们以后就是我以后马上就是给你们讲这回事
04:22.220 --> 04:25.820,所以马丁·路德他就是从
04:25.820 --> 04:31.180,差不多就是从头开始有两个口号
04:31.180 --> 04:33.700,这些口号是用拉丁语写的
04:33.700 --> 04:36.060,就是Sola Scriptura
04:36.060 --> 04:42.980,就是只要这个神经特别是那个新约
04:42.980 --> 04:46.300,就是听他的话
04:46.300 --> 04:49.380,不要听就是神父的话
04:49.380 --> 04:55.780,也不要听也不一定要听教皇的话
04:55.780 --> 05:02.180,反正他的目的并不是离开天主教
05:02.180 --> 05:12.420,那个天主教的那个是很尊敬的一种就是欧洲西部的一个传统
05:12.420 --> 05:20.860,他自己他也是属于那个天主教的制度
05:20.860 --> 05:25.740,他就是他的那个世界观完全是跟那个
05:25.780 --> 05:28.860,那个天主教是一样的
05:28.860 --> 05:33.200,但是他有一些就是不满意的地方
05:33.200 --> 05:37.040,这些不满意的地方我们马上要谈
05:37.040 --> 05:41.900,然后还有一个口号就是那个Sola Fide
05:41.900 --> 05:47.020,就是只有信仰就是才能就是
05:47.020 --> 05:51.900,这里有一个特殊的那个词就是那个
05:51.900 --> 05:54.200,说明个人的罪的罪
05:55.780 --> 05:58.860,在那个天主教的这个 reception
05:58.860 --> 06:03.200,在这个教堂他们开始
06:03.200 --> 06:03.980,就是把信徒的钱Black
06:08.060 --> 06:09.340,都寄到罗马为了就是
06:09.340 --> 06:18.300,为了就是
06:18.300 --> 06:21.120,世界上最大的一个教堂
06:21.120 --> 06:22.660,的那个天主
06:22.660 --> 06:23.940,为了
06:23.940 --> 06:24.700,为了
06:24.700 --> 06:25.740,天主教$$$%&
06:25.740 --> 06:30.780,就是给教皇和那个法帝冈
06:30.780 --> 06:35.660,就是最重要的一个经济部这个职业
06:35.660 --> 06:37.820,然后就是每个
06:37.820 --> 06:41.560,属于那个天主教的那个教堂
06:41.560 --> 06:46.060,他们就让信徒就是寄给他们钱
06:46.060 --> 06:48.460,这样他们也说
06:48.460 --> 06:52.000,信徒给的钱越多
06:52.000 --> 07:02.560,他们的罪越多
07:02.560 --> 07:07.320,这方面从神学方面来说
07:07.320 --> 07:12.300,马丁·鲁德就是他非常不满
07:12.300 --> 07:17.060,然后第三个方面
07:17.060 --> 07:21.580,那个也是罗马教皇
07:21.580 --> 07:21.980,就是他非常不满
07:21.980 --> 07:22.000,然后第三个方面那个也是罗马教皇
07:22.000 --> 07:24.180,是他的那个
07:24.180 --> 07:31.020,因为那时候很多人认为
07:31.020 --> 07:35.820,教皇是上帝
07:35.820 --> 07:36.860,是那个天主
07:36.860 --> 07:42.020,就是派到世界的一个人
07:42.020 --> 07:44.740,所以这个人他实际上
07:44.740 --> 07:48.040,也有神的本意
07:48.040 --> 07:51.980,那时候有好多
07:51.980 --> 07:56.960,天主教就是神父和就是思想家
07:56.960 --> 08:03.760,他们完全不
08:03.760 --> 08:10.160,他们觉得这样的应该算是就是邪教
08:10.160 --> 08:14.320,因为教皇一定是人
08:14.320 --> 08:20.140,所以他的看法也会有错误的
08:20.140 --> 08:20.980,所以他
08:21.980 --> 08:29.660,就是开始批评当代的那个教皇的政策的时候
08:29.660 --> 08:37.080,也一部分也有神学的方面
08:37.080 --> 08:38.360,好
08:38.360 --> 08:41.940,第四个方面就是后来
08:41.940 --> 08:46.040,对于中国来说是很有很重要的
08:46.040 --> 08:47.840,他说
08:47.840 --> 08:51.960,各国教会服从国王以及国家教会
08:51.960 --> 08:55.040,他的意思是
08:55.040 --> 09:00.920,基本上就是一个
09:00.920 --> 09:05.520,爱国主义的一种看法
09:05.520 --> 09:07.060,就是他
09:07.060 --> 09:09.880,基本上说每个教会
09:09.880 --> 09:11.420,每个地区的教会
09:11.420 --> 09:13.980,每个国家的那个教会
09:13.980 --> 09:15.760,每个民族的教会
09:15.760 --> 09:21.940,应该就是依赖自己的人
09:21.940 --> 09:23.480,人员
09:23.480 --> 09:26.800,他们不应该就是听
09:26.800 --> 09:28.860,很远的一个地方的话
09:28.860 --> 09:30.140,比如说罗马
09:30.140 --> 09:31.660,就是特别是罗马
09:31.660 --> 09:34.480,所以他
09:34.480 --> 09:37.040,他的那个宗教改革
09:37.040 --> 09:38.840,非常重要的一部分
09:38.840 --> 09:41.140,就是跟
09:41.140 --> 09:46.780,中国就是50年代以来的那个三次
09:46.780 --> 09:51.900,政策就是有一些相类的方面
09:51.940 --> 09:54.760,好
09:54.760 --> 09:58.860,第五个方面就是我已经谈到的就是那个
09:58.860 --> 10:03.460,福费就是
10:03.460 --> 10:05.260,那个教会
10:05.260 --> 10:07.040,他不需要
10:07.040 --> 10:09.100,他的
10:09.100 --> 10:12.160,就是信徒给教堂的钱
10:12.160 --> 10:17.280,一定是给教堂的或者那个教会
10:17.280 --> 10:20.100,最贫穷的人员
10:20.100 --> 10:21.900,不应该就是
10:21.900 --> 10:25.480,他就是给非常就是有钱的
10:25.480 --> 10:29.060,一个教皇和他的那个制度
10:29.060 --> 10:30.600,然后他也有一些
10:30.600 --> 10:33.680,因为他自己也是一个
10:33.680 --> 10:34.700,修道员
10:34.700 --> 10:35.980,修道员
10:35.980 --> 10:39.060,所以他就是
10:39.060 --> 10:40.080,算是一个
10:40.080 --> 10:42.120,就是一个
10:42.120 --> 10:44.180,天主教的那个僧
10:44.180 --> 10:46.740,他
10:46.740 --> 10:49.540,他觉得就是
10:49.540 --> 10:50.820,神父
10:50.820 --> 10:51.860,他们应该就是
10:51.860 --> 10:54.160,天主教神父他们应该
10:54.160 --> 10:55.440,会有
10:55.440 --> 10:57.740,就是那个
10:57.740 --> 11:00.060,结婚的那个权利
11:00.060 --> 11:05.680,这样他们可以就是更自然的就是生活
11:05.680 --> 11:06.700,天主教
11:06.700 --> 11:10.800,一直到现在就是不允许这样做但是
11:10.800 --> 11:17.200,可以说就是一直到现在就是比较长期的一个后果
11:17.200 --> 11:18.480,后来
11:18.480 --> 11:21.560,这也就是跟
11:21.560 --> 11:25.400,中国的以后的那个政策
11:25.400 --> 11:27.700,有关系
11:27.700 --> 11:32.060,各国教会应该用本地语言就是为了
11:32.060 --> 11:32.820,就是
11:32.820 --> 11:34.360,布道
11:34.360 --> 11:36.920,为了就是在
11:36.920 --> 11:40.240,教堂内就是
11:40.240 --> 11:40.760,用
11:40.760 --> 11:42.040,那时候
11:42.040 --> 11:43.580,天主教就是
11:43.580 --> 11:45.360,只允许用
11:45.360 --> 11:46.400,拉丁语
11:46.400 --> 11:48.700,拉丁语是
11:48.700 --> 11:50.480,当然那时候是
11:50.480 --> 11:54.060,学者的一种语言所以
11:54.060 --> 11:57.140,一般的那个老百姓他们听不懂
11:57.140 --> 11:59.180,就是
11:59.180 --> 12:03.540,就是那个布道的时候或者教堂
12:03.540 --> 12:05.320,开那个弥撒的时候
12:05.320 --> 12:07.120,用的那个拉丁语
12:07.120 --> 12:08.140,所以他们
12:08.140 --> 12:09.160,他们就
12:09.160 --> 12:10.960,马丁路德和
12:10.960 --> 12:13.000,别的就是
12:13.000 --> 12:14.280,改革
12:14.280 --> 12:16.340,就是宗教改革者
12:16.340 --> 12:18.640,他们认为
12:18.640 --> 12:20.180,每一个教堂
12:20.180 --> 12:21.720,应该用他们自己
12:21.720 --> 12:24.020,本地语言的一个
12:24.020 --> 12:27.340,方式这样他们才会
12:27.340 --> 12:29.660,信徒才会
12:29.660 --> 12:30.420,明白
12:30.420 --> 12:40.140,那个弥撒的意思
12:40.140 --> 12:40.920,最
12:40.920 --> 12:42.960,下面的有一个
12:42.960 --> 12:46.540,就是比较
12:46.540 --> 12:49.100,那个黑白的一片
12:49.100 --> 12:50.140,一个图片
12:50.180 --> 12:53.260,这是在德国
12:53.260 --> 12:54.280,奥克斯伯克
12:54.280 --> 12:55.820,奥克斯伯克是
12:55.820 --> 12:58.620,现在属于那个巴伐利亚
12:58.620 --> 12:59.900,德国
12:59.900 --> 13:00.680,中部
13:00.680 --> 13:02.980,的一个城市
13:02.980 --> 13:04.260,这个城市
13:04.260 --> 13:06.300,也是
13:06.300 --> 13:07.840,德国的
13:07.840 --> 13:09.900,皇帝就是那时候
13:09.900 --> 13:10.920,德国有一个
13:10.920 --> 13:12.700,在欧洲有一个
13:12.700 --> 13:17.060,罗马帝国但是那个罗马帝国最重要的人员
13:17.060 --> 13:20.140,他们都在奥地利和德国
13:20.180 --> 13:21.720,奥克斯伯克
13:21.720 --> 13:24.780,他在那个
13:24.780 --> 13:27.100,城市
13:27.100 --> 13:28.120,皇帝
13:28.120 --> 13:29.900,还有
13:29.900 --> 13:32.460,德国各个地方
13:32.460 --> 13:33.740,来的
13:33.740 --> 13:34.520,就是
13:34.520 --> 13:37.840,他们不是一般的人
13:37.840 --> 13:40.400,都属于
13:40.400 --> 13:43.980,贵族最上面的一类
13:43.980 --> 13:44.760,人
13:44.760 --> 13:47.320,他们就是听
13:47.320 --> 13:49.360,马丁路德的意见
13:49.360 --> 13:52.180,然后他们觉得
13:52.180 --> 13:54.480,这应该算是邪教
13:54.480 --> 13:57.040,不应该就是
13:57.040 --> 13:59.600,允许在天主教之内
13:59.600 --> 14:02.680,还有在就是那个罗马帝国
14:02.680 --> 14:03.960,之内
14:03.960 --> 14:06.000,就是
14:06.000 --> 14:07.540,有
14:07.540 --> 14:10.600,就是平常的一种
14:10.600 --> 14:11.640,地位
14:11.640 --> 14:13.160,所以
14:13.160 --> 14:14.440,他们
14:14.440 --> 14:16.240,就是是
14:16.240 --> 14:17.780,罗马帝国
14:17.780 --> 14:19.320,就是罗马帝国
14:19.320 --> 14:24.960,就是认为那个马丁路德他是一个匪乏的一个人员
14:24.960 --> 14:27.000,所以他们开始就是
14:27.000 --> 14:30.080,开始的时候他们就
14:30.080 --> 14:32.640,让他就是
14:32.640 --> 14:33.400,坐在
14:33.400 --> 14:34.420,监狱里面
14:34.420 --> 14:39.800,然后他就是也跑去一个另外一个地方就是一个
14:39.800 --> 14:43.120,就是德国总部的一个
14:43.120 --> 14:44.400,城堡
14:44.400 --> 14:46.460,他在里面就是
14:46.460 --> 14:48.000,写很多很多关于
14:48.000 --> 14:51.320,那个邪教的
14:51.320 --> 14:52.860,文章
14:52.860 --> 14:54.920,罗马
14:54.920 --> 14:56.200,天主教
14:56.200 --> 14:59.520,他们就是把
14:59.520 --> 15:04.120,就是马丁路德他们开除就是
15:04.120 --> 15:06.680,他是从
15:06.680 --> 15:11.560,教会的那个会计就是
15:11.560 --> 15:13.600,开除的
15:13.600 --> 15:14.880,他就是不许
15:14.880 --> 15:17.180,从那时候以来就是
15:17.180 --> 15:17.960,就是
15:17.960 --> 15:19.240,2015
15:19.240 --> 15:21.040,17年以来
15:21.040 --> 15:23.340,他就是不算属于
15:23.340 --> 15:24.880,天主教
15:24.880 --> 15:28.460,系统了
15:28.460 --> 15:29.740,然后
15:29.740 --> 15:30.240,还有
15:30.240 --> 15:35.120,另外一个非常重要的一个人员他也是
15:35.120 --> 15:38.180,当代的人他们都认为
15:38.180 --> 15:40.480,路德和
15:40.480 --> 15:42.280,Philip Melanchthon
15:42.280 --> 15:44.080,他们两个人
15:44.080 --> 15:45.600,他们是
15:45.600 --> 15:46.880,那个
15:46.880 --> 15:47.920,宗教改革
15:47.920 --> 15:51.000,最重要的
15:51.000 --> 15:53.040,哲学家
15:53.040 --> 15:55.080,我说哲学不是
15:55.080 --> 15:57.640,不说神学
15:57.640 --> 16:01.240,因为
16:01.240 --> 16:02.760,教会之内
16:02.760 --> 16:04.560,他们的都是神学
16:04.560 --> 16:07.380,但是在社会上
16:07.380 --> 16:11.480,那个神学的神学改变的
16:11.480 --> 16:13.260,的后果
16:13.260 --> 16:14.800,也有
16:14.800 --> 16:16.840,就是社会上的
16:16.840 --> 16:17.880,的后果
16:17.880 --> 16:19.680,我
16:19.680 --> 16:21.460,马上给你们一个
16:21.460 --> 16:23.260,很具体的例子
16:23.260 --> 16:25.560,所以Melanchthon
