Timestamps,Content
00:00.000 --> 00:19.000,"What is the characteristic difference between Orthodox Christianity and Catholic Christianity on the one hand, and Orthodox Christianity and Protestant Christianity on the other? Is there an essential difference between Orthodoxy's relationships to both?"
00:19.000 --> 00:35.000,"First, so far as Catholic Christianity goes, the root difference, the most important single difference, in my view, is the papal claims."
00:36.000 --> 00:48.000,"We are willing, on the Orthodox side, to accept that in a reunited Christendom, the Pope would have the first place."
00:49.000 --> 01:00.000,But we don't believe that he should have universal power of jurisdiction.
01:01.000 --> 01:17.000,"He simply has a role of coordination, of leadership, but so far as the Christian East goes, not a power of direct, immediate and ordinary jurisdiction."
01:18.000 --> 01:19.000,"So,"
01:20.000 --> 01:25.000,there I see the biggest difference between Orthodoxy and Rome.
01:26.000 --> 01:44.000,"Of course, there is also the question of the procession of the Holy Spirit, the Filioque, and, to some extent, the question of the Immaculate Conception of the Blessed Virgin Mary, which we Orthodox don't agree with."
01:45.000 --> 01:47.000,"But,"
01:48.000 --> 01:57.000,"at the present moment, in the international dialogue between our two churches, we are concentrating on the papacy."
01:58.000 --> 02:04.000,"And I think if we could solve that, the other issues wouldn't be so difficult."
02:05.000 --> 02:15.000,"As regards Protestantism, it is much more complex because there is such variety of belief among the Protestants."
02:16.000 --> 02:26.000,"In the past, the group with which the Orthodox felt closest was the Anglican Church, the Episcopalians."
02:27.000 --> 02:32.000,I would say the high point of our dialogue with the Anglicans was in the 1930s.
02:33.000 --> 02:41.000,But there have been a lot of changes in Anglicanism which are difficult for the Orthodox.
02:41.000 --> 03:05.000,"Not only the ordination of women priests and bishops, but also the question of appointing practising homosexuals to high positions in the church, and the practice that is now beginning in some Anglican churches of blessing same-sex marriages."
03:06.000 --> 03:10.000,And that is very problematic for the Orthodox.
03:11.000 --> 03:17.000,"With the Roman Catholics, we have a great deal in common."
03:18.000 --> 03:33.000,"Our view of the communion of saints, our view of the sacraments is not so different, though of course there are some points of divergence."
03:34.000 --> 03:36.000,"Whereas with the Protestant world,"
03:36.000 --> 03:42.000,we have far more differences.
03:43.000 --> 03:46.000,Why is the finding of ancient Christianity an important quest?
03:47.000 --> 03:55.000,What might you tell a modern Western evangelical who suspected that such inquiry about ancient Christianity was inspired only by pomp and a fancy for ritual?
03:56.000 --> 04:01.000,The first and most important thing about ancient Christianity
04:02.000 --> 04:06.000,is the faith of the early church.
04:07.000 --> 04:12.000,"Not ritual, not pomp."
04:13.000 --> 04:21.000,"We Orthodox believe that for our understanding of the faith today,"
04:22.000 --> 04:34.000,"we should look back to the period of the ecumenical councils of the ancient fathers,"
04:35.000 --> 04:42.000,to the period where the Greek East and the Latin West were united in communion.
04:43.000 --> 04:55.000,And what we are looking for is primarily what was the understanding of the faith in the ancient church.
04:56.000 --> 05:01.000,How did they understand the New Testament?
05:02.000 --> 05:09.000,So we would look at the continuity from the apostolic period onwards.
05:10.000 --> 05:13.000,That would be our guide.
05:14.000 --> 05:20.000,But of course tradition needs to be living tradition.
05:21.000 --> 05:28.000,We cannot simply go back to the period of the early fathers and the councils
05:29.000 --> 05:31.000,in an archaeological way.
05:32.000 --> 05:38.000,We cannot simply repeat in a parrot-like manner what they said.
05:39.000 --> 05:42.000,We have to relive their experience.
05:43.000 --> 05:51.000,"We have to ask ourselves how are we to interpret the message of the early church,"
05:52.000 --> 05:54.000,the unchanging message.
05:54.000 --> 05:59.000,How are we to present this in terms of today's world?
06:00.000 --> 06:06.000,So our honouring of tradition is living tradition.
06:07.000 --> 06:14.000,But we start with the faith rather than with a particular type of ritual.
06:15.000 --> 06:17.000,"Precious though the Byzantine liturgy is,"
06:18.000 --> 06:22.000,what is fundamentally important is the faith that is enshrined in the liturgy.
06:22.000 --> 06:27.000,Then the ancient traditions that are not extant within modern Western Protestantism.
06:28.000 --> 06:31.000,Why are these facets of ancient Christianity so crucial for the faith?
06:32.000 --> 06:40.000,We should take as our starting point the Holy Eucharist.
06:41.000 --> 06:46.000,Communion in the Body and Blood of Christ.
06:46.000 --> 06:54.000,We are to see the church essentially as a Eucharistic community.
06:55.000 --> 07:02.000,The church becomes truly itself when celebrating the divine liturgy.
07:03.000 --> 07:11.000,So what is lacking for us in much of Protestantism
07:12.000 --> 07:15.000,is the acceptance that the Holy Communion
07:16.000 --> 07:19.000,is truly the Body and Blood of Christ.
07:20.000 --> 07:24.000,"That is believed I suppose by the Lutherans,"
07:25.000 --> 07:31.000,but we also as Orthodox believe that the divine liturgy is a mystical sacrifice.
07:32.000 --> 07:35.000,That of course the Lutherans would not accept.
07:36.000 --> 07:44.000,But for so many Protestants the Eucharist is seen simply as a memorial meal.
07:44.000 --> 07:48.000,And that would not be sufficient for us as Orthodox.
