Timestamps,Content
00:00:03.000 --> 00:00:14.000,好。亲爱的观众朋友，大家晚上好。这里是光从东方来的平台，我们光从东方来的主，要宗主宗旨呢？
00:00:14.000 --> 00:00:29.000,就是以学术讲座的方式来介绍东方教会的传统，那么我们这一期主要介绍的是东正教的大斋期崇拜中的圣经那我们再次邀请到了，老师给我们讲课你点老师呢？
00:00:29.000 --> 00:00:57.000,是这个西西尼麦考瑞大学古代史学博士，然后他现在在圣安德勒希腊政教神学院的讲师他在我们平台已经其实那经常听的话就已经提供了，很多次讲座了，哈大部分是关于礼仪和圣经的一系列讲座那么我
00:00:57.000 --> 00:01:19.000,觉得这个也是东正教非常重要的一块啊，就是在礼仪的层面，那么今天他给我们介绍的，是正教大斋期崇拜中的，崇拜中的，圣经那么也非常感谢丽丽亚老师一直以来在我们平台额。
00:01:19.000 --> 00:01:25.000,的支持和帮助，那么我们把接下来的时间就交给力量。
00:01:25.000 --> 00:01:46.000,老师哈，如果你们如果遇到什么？音频或者技术的问题，可以在群里面聊，啊，如果老师讲的时候如果有问题也可以在聊天存里面发出发出来然后讲座期间我还是建议大家把这个关掉然后等老师讲完以后然后你
00:01:46.000 --> 00:02:11.000,们。在聊天哪里面提问也好，或者说打开麦提问也好，都没有问题哈。好，我们再次感谢低调老师好， nilia，你可以开始开始了哈。
00:02:11.000 --> 00:02:21.000,"Chong Jian, Guan Xia."
00:02:21.000 --> 00:02:48.000,Easier the guanxi.
00:02:48.000 --> 00:03:08.000,是，那么今天这个主题是大摘器。首先在我能讲在我讲这个圣经在大斋期，崇拜中的作用的之前我想首先给大家回顾一下这个教会的李一年就是可以想象李一年是一个框架的话那么大斋七在这个框架中他处
00:03:08.000 --> 00:03:18.000,于一个什么样的位置。然后我在，接著来总结一下大体的讲一下大斋期崇拜的结构和特色。
00:03:18.000 --> 00:03:28.000,然后在这个基础之上呢？我们再具体的来看，在这种崇拜之中，那么圣经他起到的是什么样的作用那么首先呢？
00:03:28.000 --> 00:03:35.000,第一个话题就是大家期待教会的李一年框架中的位置，那么我不知道。
00:03:35.000 --> 00:04:02.000,大家以前听过我的讲座没有或者记不记记得住，记不住，我们以前说过，在政教中这个时间是几个不同的循环这样来交织起来，的，这样的一些一个立体首先是美日当中的这样的循环由迪沃克开始然后是七，
00:04:02.000 --> 00:04:17.000,个时刻对吧？迪穆克，然后是晚岛，然后是午夜岛，然后是向乘客就是黎明的时候然后是第一时第三，是第六世第90那么在这个循环中这个日循环中他的高潮是什么呢？
00:04:17.000 --> 00:04:24.000,就是胜利仪圣礼仪，对吧，就是弥撒圣礼那么除了日的循环以外，还有州的循环。
00:04:24.000 --> 00:04:45.000,从周日开始，主日主日是美洲的第一天，么？一直到周六安息日，这个是一个州的循环这个州的循环也有一个高潮它的高潮就是主日的这个胜利仪主日的崇拜那么除此之外还有月的循环然后还有年的循环那
00:04:45.000 --> 00:04:50.000,么今天咱们关注的是这个李一年，那么李一年的定义是什么？
00:04:50.000 --> 00:04:57.000,呢？我觉得很大部分人可能连想都不想，就就认为我们已经知道他的意思是什么？
00:04:57.000 --> 00:05:19.000,年嘛，是吧？因为我们在民事民利就是民用的普通的世俗力中也有年的概念那么李一年可以有一般性的描述性的，定义比如说我我我放在大家面前的这个就是一个一般的描述性的定义他就说李一年是一系列贯穿
00:05:19.000 --> 00:05:42.000,在民事年始终的从始至终的节日和纪念日，年复一年地进行庆祝，就是一个很简单的描述性的对吧，所以就是说在这个我们所熟悉的年中教会规定了一系列的节日和纪念日然后我们一个一个的线性的来进行庆
00:05:42.000 --> 00:05:50.000,祝。然后呢，还有年复一年的这样的反复就是李一年，但是我觉得更重要的是要从神学的角度来，定义李一年那么现在大家看到的呢？
00:05:50.000 --> 00:06:14.000,是。亚历山大是梅曼神父，他在写的一部非常经典的简介就是这个礼仪神学简介的这部书中给李一年做了，一个定义他说，这个李一年它的它的功能是什么呢？
00:06:14.000 --> 00:06:27.000,从神学的角度来说，就是教会对于基督奥秘的一种反射，那么这个词rion翻译成反射，但它可以是反应比如说我们在镜子中看到自己的。
00:06:27.000 --> 00:06:49.000,形象的那种反应，但他也可以是一种思考，一种反思，对他的意义的一种一种深层的，思考也叫也叫reflection，所以我们说他是教会对于基督奥秘的这样一个一种现实的一种反射，那么在这些崇拜的仪式中基督把自己真
00:06:49.000 --> 00:07:13.000,正展示给也把自己真正的给予那些前来到他面前来的人们，并通过这些人，就是来崇拜的基督徒，并通过他们来圣化整个世界，所以在这个定义中李一年其实是不是一个自然存在的一个东西，而是它是基于
00:07:13.000 --> 00:07:31.000,基督的奥秘，那么，基督徒outb是什么呢？就是它的死和它的复活，对吧，人类的破获，那么我们就可以看到这个李依年他其实是起到了一个在在信仰中起到一个非常重要的作用他也是基督徒奥秘本来是一个隐藏的不
00:07:31.000 --> 00:07:44.000,可见的奥秘。在世间在这一个物质，物质性的世界，物理性的世界里，在有限的时间之内的一种真实的反应。
00:07:44.000 --> 00:07:49.000,那么教会的01年政教我说的政教的理念，它是它的结构是什么样子的呢？
00:07:49.000 --> 00:08:09.000,我给大家总结了一下，就可以用这样的就是为了大家好记嘛，就可以用这样的这个三个方面来来给他记住一个是一个核心一个中心两个循环相互交替的，相互作用的相互交接的，两个循环然后基本上在这一年之
00:08:09.000 --> 00:08:30.000,内有三个节气，这个一个核心，我觉得我不说大家也知道，就是基督的帕斯哈奥米帕斯卡复活他的，复活的奥秘这个核心不仅是李银年的核心也是所有教会所有崇拜活动的核心从每周的从每日的循环到每周的循环然后
00:08:30.000 --> 00:08:31.000,是？
00:08:31.000 --> 00:08:32.000,Okay?
00:08:32.000 --> 00:08:36.000,一个一年的循环，他都是把我们引向基督徒复活的。
00:08:36.000 --> 00:08:42.000,这样的一个奥秘，那么他最基本的代表就是胜利仪。
00:08:42.000 --> 00:09:01.000,这个胜利仪就是帕斯哈奥秘的一个彰显。对吧？那么这个我们把可以把它看成一种一种运动我们在朝著这个核心来运动那它不仅是一个平面的运动它是一个向上上升的这样，的一个运动这个是一个核心教教会
00:09:01.000 --> 00:09:13.000,的里一年呢？有两个循环，把它想成一个原型的吧，那么就是可移动的这样的一个循环和一个不可移动的这样的一个循环那所谓可移动的呢？
00:09:13.000 --> 00:09:35.000,就是说，每一年按照音力，按照关月月月亮的这个，他的这个这个形形象来来确定这个月节还有这个基督生天节还有圣灵降临节对吧，所以这只是一个一年的循环但是呢？
00:09:35.000 --> 00:09:42.000,教会在最早出的最起初的时候，并没有越循环这样的概念，那么越循环。
00:09:42.000 --> 00:09:52.000,每一个月这样子的循环，它这个概念是在和民事年。
00:09:52.000 --> 00:10:12.000,要要对他进行适应。这样的一个过程中产生出来的，所以所以在教会中每一个月按照阳历的每一个月的每一天也有基督徒的节日有诞辰女的节日以及很多圣人的每天都有圣人的庆日对吧，这就是我们的这个不可移动的一年
00:10:12.000 --> 00:10:34.000,的循环。这两个循环是相辅相成的，但是第一个循环是移动的，这个循环是是教会最早最起初的这样的，一个利益年的结构它是和圣经中原来以色列的就在就约中的以色列的这个主要的一年中的节日和他是相对应的在他
00:10:34.000 --> 00:10:58.000,的基础之上发展出来的，因为基督徒复活的奥秘而发展成真正的产生真正的意义那么这两个可以说是两个同的循环但是他们之间是有交接的那么由此我们也可以说这个李一年有三个节期这三个节期从通俗的角度来
00:10:58.000 --> 00:11:25.000,说就叫做大斋节期，然后是复活和五旬节期，然后其他的日子就叫做圣灵降临后这样，的一个节气基本上来说在政教会是用礼仪用书来做代表的那么大摘节气是指大灾前三周三周前的那个法律赛人和顺利主日也就是我们上一个
00:11:25.000 --> 00:11:35.000,主日开始，一直到上周六结束。这个一共十周的时间，我们把它称为三送点时期为什么呢？
00:11:35.000 --> 00:11:43.000,因为他教会在这个期间的礼遇书主要是一个一本特殊的典籍，叫做大摘三，送点的trodium。
00:11:43.000 --> 00:12:07.000,这个三送点，就是因为在大灾区的礼仪崇拜，他有自己独特的特色，在在那个早岛，的，时候就是像乘客的时候一般情况，下我们一共有九个九个赞美师来组成的，这样的一个叫什么呀，胜诉点对吧，但在大斋期呢？
00:12:07.000 --> 00:12:28.000,只有三个，所以这是一个它的一个特色，所以这个这个礼仪书就成为了三送点，那么第二个，节气是从复活节开始，复活主日一直到圣灵降临节后的那一个主日我们叫做祝圣日就是纪念所有的圣徒的日子一共有八周那么
00:12:28.000 --> 00:12:34.000,在在这个期间教会使用的这个礼仪书叫做pentecotarium。
00:12:34.000 --> 00:12:56.000,我把它翻译成五，巡送点，有的时候也叫做喜庆送扁，那么这个这个阶段呢，一共是八周大家请注意这个数字八在基督教中是有象征意义的很多教父就已经解读了，这个八什么意思因为上帝创造世界是七天对
00:12:56.000 --> 00:13:08.000,吧，那么第七天就是第七天就是那个安息日，也就是基督徒在音符的大安昔日他的复活日呢？
00:13:08.000 --> 00:13:18.000,教父们说是第一日，也是第八日，是永恒的，光明的日子，没有黑暗的，没有日落的日子就是在漠视。
00:13:18.000 --> 00:13:25.000,这个在天国的一个永恒之日。所以这个巴士具有象征意义的。
00:13:25.000 --> 00:13:34.000,那么。在复活五循节期之后，下一个大斋期之前，这一年剩余的日子。
00:13:34.000 --> 00:13:41.000,教会使用的主要的礼仪用书叫做八音书， octo host就是八音。
00:13:41.000 --> 00:13:47.000,那么这之所以是八音书呢？是因为它也是按照周的循环。
00:13:47.000 --> 00:13:53.000,其实那么一共有按照就是古代的八种音调来。为教会礼仪用的这个赞美师啊，来进行谱曲对吧？
00:13:53.000 --> 00:14:10.000,然后八周了，以后再循环么？大家可以看到这个八也不是一个偶然，它也是一个象征意义的圣灵。
00:14:10.000 --> 00:14:16.000,降临之后，他就是基督徒，与我们在圣灵中同在是吧。
00:14:16.000 --> 00:14:25.000,这是一种怎么说呢？这一一种象征，一种第八日或者是永恒的光明日的到来。
00:14:25.000 --> 00:14:47.000,这就是三个节期，那么现在呢？政教已经进入了大斋节期，从上一个主日叫做法利塞人。和税。利主日开始我们就进入了三松点这个节气慢慢的要像这个大灾区来过渡。
